,airport_ref,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,wikipedia_link,small_airport,medium_airport,large_airport,frequency_mhz
7,6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038,NA,US,US-CA,Barstow,no,00CA,,,1,0,0,[122.9]
76,6589,01FL,small_airport,Cedar Knoll Flying Ranch Airport,28.7819004059,-81.1592025757,19,NA,US,US-FL,Geneva,no,01FL,,,1,0,0,"[122.9, 122.8]"
268,6756,04CA,small_airport,Gray Butte Field,34.5639,-117.675003,3020,NA,US,US-CA,Palmdale,no,KGXA,,,1,0,0,[122.9]
293,6779,04MS,small_airport,Nick's Flying Service Inc Airport,32.9396018982,-90.8373031616,100,NA,US,US-MS,Rolling Fork,no,04MS,,,1,0,0,[122.8]
299,6784,04NV,small_airport,Kingston Ranch Airport,35.7555007935,-115.665000916,2620,NA,US,US-NV,Sandy Valley,no,04NV,,,1,0,0,[123.0]
333,6812,05CL,small_airport,Pope Valley Airport,38.6106987,-122.39099884,618,NA,US,US-CA,Pope Valley,no,05CL,,,1,0,0,[122.9]
399,6868,06FA,small_airport,William P Gwinn Airport,26.9083995819,-80.3289031982,28,NA,US,US-FL,Jupiter,no,06FA,,https://en.wikipedia.org/wiki/North_Palm_Beach_County_General_Aviation_Airport,1,0,0,"[124.6, 121.65, 120.4]"
419,6887,06MO,small_airport,Noahs Ark Airport,39.2305984497,-94.804397583,755,NA,US,US-MO,Waldron,no,06MO,,,1,0,0,[122.9]
461,6924,07FA,small_airport,Ocean Reef Club Airport,25.3253993988,-80.2748031616,8,NA,US,US-FL,Key Largo,no,07FA,OCA,https://en.wikipedia.org/wiki/Ocean_Reef_Club_Airport,1,0,0,[122.7]
480,6943,07MT,small_airport,Glasgow Industrial Airport,48.4211006165,-106.5279998779,2762,NA,US,US-MT,Glasgow,no,07MT,,,1,0,0,[126.85]
494,6954,07TE,small_airport,Cuddihy Field,27.7210998535,-97.512802124,39,NA,US,US-TX,Corpus Christi,no,07TE,,,1,0,0,[126.625]
575,7019,09CL,small_airport,Alta Sierra Airport,39.1138000488,-121.0569992065,2275,NA,US,US-CA,Grass Valley,no,09CL,,,1,0,0,[122.9]
578,7021,09FA,small_airport,Placid Lakes Airport,27.2455997467,-81.4131011963,130,NA,US,US-FL,Lake Placid,no,09FA,,,1,0,0,[122.8]
613,7054,09TS,small_airport,Pitcock Rosillos Mountain Ranch Airport,29.4824008942,-103.1650009155,3100,NA,US,US-TX,Marathon,no,09TS,,,1,0,0,[132.65]
656,7094,0AZ2,small_airport,Western Sky Airport,33.778166,-113.640625,1930,NA,US,US-AZ,Salome,no,0AZ2,,,1,0,0,[122.95]
664,7102,0C2,small_airport,Hinckley Airport,41.7709007263,-88.7033996582,760,NA,US,US-IL,Hinckley,no,0C2,,,1,0,0,[122.9]
678,7116,0CA9,small_airport,Blech Ranch Airport,35.592797,-120.338058,1140,NA,US,US-CA,Shandon,no,0CA9,,,1,0,0,[122.9]
782,7213,0ID2,small_airport,Flying Joseph Ranch Airport,44.4429016113,-113.773002625,5600,NA,US,US-ID,May,no,0ID2,,,1,0,0,[128.35]
1123,7542,0TE4,small_airport,Hilltop Lakes Airport,31.0809993744,-96.2152023315,501,NA,US,US-TX,Hilltop Lakes,no,0TE4,,,1,0,0,[122.8]
1124,7543,0TE5,small_airport,Santa Maria Ranch Airport,27.4337997437,-99.1858978271,516,NA,US,US-TX,Laredo,no,0TE5,,,1,0,0,[126.625]
1126,7545,0TE7,small_airport,LBJ Ranch Airport,30.2518005371,-98.6224975586,1515,NA,US,US-TX,Johnson City,no,0TE7,JCY,,1,0,0,[122.8]
1151,7569,0TX1,small_airport,Pecan Plantation Airport,32.3540000916,-97.676399231,710,NA,US,US-TX,Granbury,no,0TX1,,,1,0,0,[123.05]
1310,7712,11II,small_airport,Atterbury Field (Camp Atterbury),39.3417015076,-86.0305023193,710,NA,US,US-IN,Nineveh,no,11II,,,1,0,0,"[134.85, 126.2, 38.9, 138.25]"
1389,7781,12NC,small_airport,Atlantic Field Marine Corps Outlying Field,34.892099,-76.349029,20,NA,US,US-NC,Atlantic,no,12NC,,,1,0,0,[119.75]
1454,7838,13NC,small_airport,Oak Grove Marine Corps Outlying Field,35.025006,-77.255945,27,NA,US,US-NC,Pollocksville,no,13NC,,https://en.wikipedia.org/wiki/Marine_Corps_Outlying_Field_Oak_Grove,1,0,0,"[119.35, 322.1]"
1518,7898,14NC,small_airport,Camp Davis Mcolf Airport,34.5167007446,-77.5500030518,60,NA,US,US-NC,Holly Ridge,no,14NC,,,1,0,0,[119.35]
1538,7917,14TS,small_airport,O S Wyatt Airport,27.4216995239,-98.6044998169,532,NA,US,US-TX,Realitos,no,14TS,,,1,0,0,[126.625]
1552,7928,15AR,small_airport,Taylor Airport,34.825901,-90.543297,220,NA,US,US-AR,Brickeys,no,15AR,,,1,0,0,[122.725]
1559,7934,15FL,small_airport,Cannon Creek Airpark,30.150584,-82.66785,125,NA,US,US-FL,Lake City,no,15FL,,,1,0,0,[123.0]
1663,8028,16X,small_airport,Propwash Airport,33.0806999207,-97.3589019775,800,NA,US,US-TX,Justin,no,16X,,,1,0,0,[127.45]
1729,8082,18AZ,small_airport,Sky Ranch At Carefree Airport,33.818536,-111.898327,2568,NA,US,US-AZ,Carefree,no,18AZ,,,1,0,0,[122.975]
1769,8117,18TA,small_airport,West Kerr Ranch Airport,30.1362991333,-99.7436981201,2330,NA,US,US-TX,Junction,no,18TA,,,1,0,0,[126.625]
1770,8118,18TE,small_airport,Alert Field,32.5852012634,-95.0639038086,390,NA,US,US-TX,Big Sandy,no,18TE,,,1,0,0,[122.8]
1866,8205,1AZ0,small_airport,Mobile Airport,33.1119003296,-112.2689971924,1261,NA,US,US-AZ,Mobile,no,1AZ0,,,1,0,0,[122.725]
1883,8222,1CA1,small_airport,Belridge Strip,35.467905,-119.72203,575,NA,US,US-CA,McKittrick,no,,,,1,0,0,[122.9]
1894,8233,1CD2,small_airport,Tonga Airport,40.1671981812,-104.7929992676,4925,NA,US,US-CO,Platteville,no,1CD2,,,1,0,0,[119.3]
1963,8297,1GA0,small_airport,Eagle Neck Airport,31.6394004822,-81.3290023804,10,NA,US,US-GA,Shellman Bluff,no,1GA0,,,1,0,0,[122.725]
2157,8486,1MS8,small_airport,Columbus Air Force Base Aux Field Airfield,32.9401016235,-88.5792007446,260,NA,US,US-MS,Shuqualak,no,1MS8,,,1,0,0,[31.48]
2409,8732,1WA6,small_airport,Fall City Airport,47.5595016479,-121.8639984131,140,NA,US,US-WA,Fall City,no,1WA6,,https://en.wikipedia.org/wiki/Fall_City_Airport,1,0,0,[122.9]
2449,8769,1XS8,small_airport,Pinon Ranch Airport,29.63383,-100.375729,1640,NA,US,US-TX,Brackettville,no,1XS8,,,1,0,0,[126.625]
2468,8787,20GA,small_airport,Earl L. Small Jr. Field/Stockmar Airport,33.7565002441,-84.8846969604,1110,NA,US,US-GA,Villa Rica,no,20GA,,,1,0,0,[122.9]
2639,8924,22XS,small_airport,Longhorn Auxiliary Landing Strip,31.373693,-97.666654,720,NA,US,US-TX,Fort Hood,no,22XS,,,1,0,0,"[143.35, 118.8, 30.45, 38.75, 38.7, 41.2, 120.75]"
2708,8982,23XS,small_airport,Shorthorn Auxiliary Landing Strip,31.360727,-97.672871,720,NA,US,US-TX,Fort Hood,no,23XS,,,1,0,0,"[143.35, 118.8, 30.45, 38.75, 38.7, 41.2, 120.75]"
2717,8990,24CL,small_airport,Boswell Airport,36.088444,-119.541392,205,NA,US,US-CA,Corcoran,no,24CL,,,1,0,0,[122.9]
2802,9068,25NC,small_airport,Smith Air Strip,35.632717,-79.711768,560,NA,US,US-NC,Asheboro,no,25NC,,,1,0,0,[122.9]
2819,9078,25TA,small_airport,Ferris Airport,29.83659935,-94.9673995972,35,NA,US,US-TX,Baytown,no,25TA,,,1,0,0,[126.625]
2822,9080,25TS,small_airport,Miller Airfield,36.094331,-102.417469,3961,NA,US,US-TX,Dalhart,no,25TS,,,1,0,0,[132.65]
2890,9138,27AZ,small_airport,Eagle Roost Airpark,33.919276,-113.167795,2206,NA,US,US-AZ,Aguila,no,27AZ,,,1,0,0,[122.9]
2987,9223,28TA,small_airport,Duval County Ranch Co Airport,27.83359909,-98.71700287,665,NA,US,US-TX,Freer,no,28TA,,,1,0,0,"[126.625, 122.8]"
